V1,V2
0,12.25481838
0,11.40746707
0,10.91517437
0,8.999653836
0,10.66902803
0,11.40746707
0,7.170019721
0,11.51292546
0,9.392705111
0,14.50858867
0,9.472604814
0,7.600833392
0,8.699626998
0,13.52791768
0,10.9239242
0,11.08165128
0,7.600833392
0,8.294141763
0,6.214677166
0,5.669885533
0,6.907755279
0,9.903418485
0,9.76986855
0,12.61148881
0,11.15625503
0,9.104881975
0,11.9184107
0,7.600833392
0,10.62136452
0,13.20854913
0,9.983548446
0,4.290406804
0,9.392705111
0,10.59672686
0,8.188683366
0,7.675897666
0,8.517262259
0,10.81984735
0,12.89931195
0,6.214677166
0,8.889590269
0,10.30890372
0,9.903418485
0,3.912092073
0,8.160591828
0,12.61148881
0,9.615825607
0,7.090120018
0,12.46458388
0,13.01697405
0,9.68029799
0,10.81984735
0,12.42912407
0,10.30890372
0,12.89931195
0,10.59672686
0,10.59672686
0,12.61148881
0,8.791730402
0,11.40746707
0,11.77518991
0,11.5327277
0,11.60825249
0,11.19816208
0,9.179485732
0,5.63488624
0,12.20600358
0,11.51292546
0,12.66030362
0,10.81984735
0,12.89931195
0,13.81551056
0,9.615825607
0,9.305667395
0,11.98288308
0,13.12243245
0,12.15488619
0,12.99463897
0,11.51292546
0,14.73170917
0,8.006318627
0,14.91407391
0,12.20600358
0,14.22099579
0,11.51292546
0,8.682818127
0,12.19103677
0,9.713685473
0,7.600833392
0,8.08460652
0,12.20600358
0,15.31955914
0,13.45884013
0,11.49266272
0,12.44109752
0,9.210340372
0,7.600833392
0,7.600833392
0,6.907755279
0,13.91083758
0,10.34183069
0,11.35036296
0,10.81984735
0,11.0349088
0,11.09730886
0,13.45884013
0,13.20854913
0,12.62138993
0,12.52099722
0,13.2103912
0,8.006318627
0,13.12243245
0,11.77518991
0,11.98288308
0,7.600833392
0,13.9978753
0,12.15995188
0,13.21775947
0,12.20600358
0,10.12653898
0,8.612589282
0,11.58062147
0,12.53181937
0,9.752599161
0,14.17310202
0,12.42912407
0,14.80884577
0,11.28980497
0,12.38836832
0,13.59239006
0,13.30479718
0,11.51292546
0,12.5244511
0,9.472604814
0.693078113,10.59672686
0.693078113,11.51292546
0.693078113,12.29672543
0.693078113,13.12243245
0.693078113,10.34183069
0.693078113,10.49126846
0.693078113,11.89147045
0.693078113,9.903418485
0.693078113,11.51292546
0.693078113,10.30890372
0.693078113,6.907755279
0.693078113,5.198546364
0.693078113,8.006318627
0.693078113,10.12653898
0.693078113,8.517262259
0.693078113,9.903418485
0.693078113,12.76576201
0.693078113,10.81984735
0.693078113,6.907755279
0.693078113,13.12243245
0.693078113,10.59672686
0.693078113,9.210340372
0.693078113,13.39229542
0.693078113,13.24101558
0.693078113,11.60825249
0.693078113,9.615825607
0.693078113,12.20600358
0.693078113,12.20600358
0.693078113,8.131579256
0.693078113,12.20600358
0.693078113,10.71438895
0.693078113,8.517262259
0.693078113,6.214677166
0.693078113,13.81551056
0.693078113,15.04808436
0.693078113,11.51292546
0.693078113,12.85648387
0.693078113,9.210340372
0.693078113,12.07245364
0.693078113,13.12243245
0.693078113,11.77518991
0.693078113,12.50626067
0.693078113,9.903418485
0.693078113,10.30890372
0.693078113,12.20600358
0.693078113,9.210340372
0.693078113,12.89931195
0.693078113,9.210340372
0.693078113,11.51292546
0.693078113,11.35036296
0.693078113,10.0797965
0.693078113,8.853669941
0.693078113,6.637201531
0.693078113,13.01697405
0.693078113,10.71438895
0.693078113,12.9478965
0.693078113,6.907755279
0.693078113,7.313240514
0.693078113,11.51292546
0.693078113,10.81984735
0.693078113,10.81984735
