Death,Loss
1.491361694,4
2.903089987,5.622421274
1.698970004,3.610660163
1.919078092,5.204119983
1.531478917,4.064457989
1.84509804,4.862727528
2.113943352,3.954242509
1.230448921,3
1.176091259,4.079181246
1.653212514,4.477121255
2.100370545,4.897627091
1.176091259,3.698970004
2.012837225,4.612783857
1.531478917,4.342422681
1.602059991,5.380211242
1.633468456,4.278753601
1.51851394,4.77815125
1.041392685,3
1.041392685,3.875061263
1.875061263,4.410996434
2.662757832,5.397940009
1.041392685,4.113943352
1.041392685,2.681241237
2.540329475,5.204119983
1.113943352,4.361727836
2.938019097,4.633468456
1.77815125,4.875061263
2.307496038,5.235528447
0.903089987,3.77815125
1.146128036,5.130333768
1.176091259,3.698970004
1,4.123459619
1.041392685,4.841628474
2.252853031,5.238046103
1.397940009,4.053078443
1.672097858,5.227886705
1.146128036,3.380211242
1.662757832,6.77815125
1.255272505,6.871572936
2.946452265,5.839792184
1.491361694,5.698970004
1.146128036,5.443200382
1.397940009,6.903089987
1.204119983,5.51851394
1.602059991,4.633468456
2.187520721,4.230448921
1.949390007,5.176091259
1.973127854,4.491361694
1.556302501,4.176091259
1.707570176,4.759667845
1.491361694,4
2,4.531478917
1.079181246,3
1.755874856,4
1.414973348,3.698970004
1.079181246,5.698970004
1.69019608,4.079181246
1.041392685,5.462397998
2.926342447,6.176091259
1.897627091,4.556302501
2.176091259,1
4.301138556,6.418798291
1.079181246,2.698970004
2.086359831,4
2.498310554,5.542202782
1.740362689,3.77815125
0.477121255,4.380211242
1.204119983,4.176091259
1.919078092,3.602059991
1.462397998,4.892094603
1.612783857,6.77815125
2.096910013,5.672097858
0.954242509,3.698970004
2.161368002,5.477121255
1.041392685,4.380211242
1.477121255,4.397940009
2.365487985,4.83610248
1.51851394,6.438225808
2,4.954242509
1.792391689,4.880813592
1.544068044,4.230448921
1.505149978,4.397940009
2.322219295,5.390935107
1.278753601,4.77815125
1.431363764,5.84509804
0,3.77815125
1.662757832,3.698970004
2,4.602059991
2,5.380211242
1.204119983,4.230448921
1.568201724,3.903089987
2.017033339,4.389166084
2.614897216,4.896526217
1.748188027,4.176091259
2.491361694,4.924279286
2.301029996,3.477121255
2,3
1.903089987,5.903089987
1.681241237,4.414973348
1.431363764,5.477121255
